"id","father","mother","age","sexe","career"
"15cy0","NRt8","7ch6",0,"F",0
"15sr3","NRl3","7wc1",0,"F",0
"15zm3","NRt8","7wj0",0,"F",0
"15ej0","NRl3","9lm9",0,"F",0
"15uh9","NRl3","13hd0",0,"F",0
"15hi1","NRl3","13pb1",0,"F",0
"14sy1","NRl3","9rl1",1,"F",1
"14ft1","NRt8","12yg2",1,"F",1
"14sn2","NRl3","8hg0",1,"F",1
"14kv3","NRl3","11bc5",1,"F",1
"13hd0","NRb4","9lm9",2,"F",2
"13tj8","NRb4","9rl1",2,"F",2
"13fz2","NRb4","5az8",2,"F",2
"13dk3","NRc2","10tn9",2,"F",2
"13pb1","NRb4","5se9",2,"F",2
"13uv8","NRb4","11qb0",2,"F",2
"13dk1","NRc2","6or3",2,"F",2
"13jq6","NRb4","11bc5",2,"F",2
"12ka8","NRb4","8ip6",3,"F",3
"12tc7","NRb4","5dy0",3,"F",3
"12hr6","NRc2","7wc1",3,"F",3
"12kx9","NRc2","10fp1",3,"F",3
"12yg2","NRc2","4ti4",3,"F",3
"11qb0","NRc2","7ch6",4,"F",4
"11bc5","NRb4","7tu1",4,"F",4
"11lb3","NRb4","5et6",4,"F",4
"11dw0","NRb4","8ip6",4,"F",4
"11lu3","NRc2","3im7",4,"F",4
"10hu3","NRb4","7wj0",5,"F",5
"10fp1","NRb4","7wc1",5,"F",5
"10tn9","NRc2","5et6",5,"F",5
"9lm9","NRl0","5lq5",6,"F",6
"9rj7","NRl0","3lu9",6,"F",6
"9pg7","NRl0","5kq9",6,"F",6
"9rl1","NRy4","5se9",6,"F",6
"8ip6","NRy4","0bb6",7,"F",7
"8nr3","NRl0","6jz7",7,"F",7
"8hg0","NRy4","4ti4",7,"F",7
"8bn7","NRl0","1bu6",7,"F",7
"8it1","NRl0","5dy0",7,"F",7
"NRl3","RFg9","RMh4",5,"M",2
"NRt8","RFp9","RMo6",4,"M",2
